Time stamp,Con piezaJ1,Con piezaJ2,PosicionJ1,PosicionJ2,VelocidadJ1,VelocidadJ2,Distancia
0:0:0.00,False,False,(3.337019; 0.9573135),(3.305501; 1.6797),0,0,0.723073831644496
0:0:0.49,False,False,(1.392051; 0.5700261),(3.305501; 1.6797),0.1397168,0,2.21193747199315
0:0:0.99,False,False,(1.410037; 0.4547256),(3.305501; 1.6797),0.3156912,0,2.25684448345418
0:0:1.49,False,False,(1.380234; 0.3429055),(3.305501; 1.6797),0.1175095,0,2.34385862409952
0:0:1.99,False,False,(1.366246; 0.344144),(3.305501; 1.6797),0.07932604,0,2.35465944563116
0:0:2.49,False,False,(1.382193; 0.4279817),(3.305501; 1.6797),0.3116992,0,2.29475765119964
0:0:2.99,False,False,(1.51175; 0.7162877),(3.305501; 1.6797),0.6245344,0,2.03610123851652
0:0:3.49,False,False,(1.581671; 0.7982888),(3.305501; 1.6797),0.202563,0,1.93609841137986
0:0:3.99,False,False,(1.816422; 0.8211232),(3.305501; 1.6797),0.6070347,0,1.71886938615019
0:0:4.49,False,False,(2.110433; 0.8454197),(3.305501; 1.6797),0.6298372,0,1.45746813388374
0:0:4.99,False,False,(2.469382; 0.9275255),(3.305501; 1.6797),0.5595823,0,1.12466116002152
0:0:5.49,False,False,(2.828055; 0.8908817),(3.305501; 1.6797),0.8262131,0,0.922057129873846
0:0:5.99,False,False,(3.17938; 0.9163145),(3.305501; 1.6797),0.8414065,0,0.773733896685115
0:0:6.49,False,False,(3.522018; 0.9604637),(3.305501; 1.6797),0.6502822,0,0.751119595183181
0:0:6.99,False,False,(3.915079; 0.9609797),(3.305501; 1.6797),0.6203383,0,0.94241375893725
0:0:7.49,False,False,(4.285001; 1.044705),(3.305501; 1.6797),0.879695,0,1.16732068707053
0:0:7.99,False,False,(4.601895; 1.067407),(3.305501; 1.6797),0.6205432,0,1.43371558457418
0:0:8.49,False,False,(4.88296; 1.075991),(3.305501; 1.6797),0.5673775,0,1.68903551938397
0:0:8.99,False,False,(5.081705; 1.141201),(3.305501; 1.6797),0.295217,0,1.85603837110592
0:0:9.49,True,False,(5.17428; 1.174368),(3.305501; 1.6797),0.00448342,0,1.93589594088706
0:0:9.99,True,False,(5.072628; 1.16846),(3.305501; 1.6797),0.2441057,0,1.8395930590814
0:0:10.49,True,False,(4.878645; 1.231443),(3.305501; 1.6797),0.4678248,0,1.63576114164966
0:0:10.99,True,False,(4.596942; 1.233403),(3.305501; 1.6797),0.5406699,0,1.36638181648508
0:0:11.49,True,False,(4.316201; 1.270831),(3.305501; 1.6797),0.6679834,0,1.09026971879016
0:0:11.99,True,False,(4.010381; 1.264772),(3.305501; 1.6797),0.7040067,0,0.817936316929547
0:0:12.49,True,False,(3.656982; 1.165319),(3.305501; 1.6797),0.5774901,0,0.622997811949847
0:0:12.99,True,False,(3.296645; 1.166344),(3.305501; 1.6797),0.6215578,0,0.51343247726411
0:0:13.49,True,False,(2.938263; 1.163109),(3.305501; 1.6797),0.8486895,0,0.633822054103443
0:0:13.99,True,False,(2.605768; 1.158781),(3.305501; 1.6797),0.6159956,0,0.872344035071505
0:0:14.49,True,False,(2.223513; 1.27191),(3.305501; 1.6797),0.6359639,0,1.15628313387511
0:0:14.99,True,False,(1.896495; 1.31099),(3.305501; 1.6797),0.6712068,0,1.45644979624377
0:0:15.49,True,False,(1.606459; 1.336086),(3.305501; 1.6797),0.4433357,0,1.73344018999758
0:0:15.99,False,False,(1.44209; 1.37849),(3.305501; 1.6797),0.244894,0,1.88759896829408
0:0:16.49,False,False,(1.432829; 1.283942),(3.305501; 1.6797),0.3319758,0,1.91403453463143
0:0:16.99,False,False,(1.652129; 1.166776),(3.305501; 1.6797),0.5138593,0,1.73110684432082
0:0:17.49,False,False,(1.794533; 1.097243),(3.305501; 1.6797),0.166123,0,1.61934643559935
0:0:17.99,False,False,(1.903893; 1.091373),(3.305501; 1.6797),0.3122545,0,1.5200772588233
0:0:18.49,False,False,(1.859157; 0.9362247),(3.305501; 1.6797),0.5633178,0,1.62624345610562
0:0:18.99,False,False,(1.821874; 0.8286762),(3.305501; 1.6797),0.09292249,0,1.7103774480385
0:0:19.49,False,False,(1.924559; 0.8365246),(3.305501; 1.6797),0.4351136,0,1.61800743242479
0:0:19.99,False,False,(2.32276; 0.9311982),(3.305501; 1.6797),0.6942496,0,1.23532797004727
0:0:20.49,False,False,(2.593028; 0.9372917),(3.305501; 1.6797),0.6487988,0,1.02897484865216
0:0:20.99,False,False,(2.918628; 0.8723532),(3.305501; 1.6797),0.6043742,0,0.895254354039209
0:0:21.49,False,False,(3.243215; 0.9335019),(3.305501; 1.6797),0.7930624,0,0.748793296958333
0:0:21.99,False,False,(3.598704; 0.9953291),(3.305501; 1.6797),0.8056818,0,0.744534381679667
0:0:22.49,False,False,(3.936033; 1.04061),(3.305501; 1.6797),0.6675921,0,0.897778615153208
0:0:22.99,False,False,(4.27986; 1.148286),(3.305501; 1.6797),0.7280207,0,1.10985321772491
0:0:23.49,False,False,(4.515852; 1.112872),(3.305501; 1.6797),0.5707836,0,1.3365043156348
0:0:23.99,False,False,(4.71447; 1.002144),(3.305501; 1.6797),0.3899424,0,1.56341749822577
0:0:24.49,False,False,(4.862807; 1.029371),(3.305501; 1.6797),0.2791687,0,1.68763977785664
0:0:24.99,False,False,(5.005328; 1.05865),(3.305501; 1.6797),0.4134421,0,1.80972722997238
0:0:25.49,True,False,(5.106027; 1.192605),(3.305501; 1.6797),0.2903291,0,1.86524854731436
0:0:25.99,True,False,(4.85336; 1.175106),(3.305501; 1.6797),0.7065257,0,1.6280299611529
0:0:26.49,True,False,(4.569741; 1.141048),(3.305501; 1.6797),0.4166406,0,1.37420775428975
0:0:26.99,True,False,(4.414494; 1.170809),(3.305501; 1.6797),0.3243504,0,1.22017823903796
0:0:27.49,True,False,(4.20394; 0.9943426),(3.305501; 1.6797),0.8707602,0,1.13000328751841
0:0:27.99,False,False,(4.008293; 0.8315027),(3.305501; 1.6797),0.4183038,0,1.10152398618515
0:0:28.49,False,False,(3.954631; 0.8139802),(3.305501; 1.6797),0.1290168,0,1.08205371662999
0:0:28.99,False,False,(4.142833; 0.9540451),(3.305501; 1.6797),0.7578452,0,1.10801575107031
0:0:29.49,False,False,(4.544192; 1.043104),(3.305501; 1.6797),0.5295394,0,1.39269851295199
0:0:29.99,False,False,(4.752025; 1.19583),(3.305501; 1.6797),0.621812,0,1.52530701815095
0:0:30.49,False,False,(4.950851; 1.261838),(3.305501; 1.6797),0.3980966,0,1.69758165800271
0:0:30.99,False,False,(5.169436; 1.216888),(3.305501; 1.6797),0.304375,0,1.92053340482993
0:0:31.49,True,False,(5.233781; 1.221006),(3.305501; 1.6797),0.07583041,0,1.98208527812936
0:0:31.99,True,False,(5.010242; 1.261048),(3.305501; 1.6797),0.6432121,0,1.7553948919473
0:0:32.49,True,False,(4.759796; 1.237058),(3.305501; 1.6797),0.2290622,0,1.52016622762723
0:0:32.99,True,False,(4.507656; 1.108581),(3.305501; 1.6797),1.113917,0,1.33092182269321
0:0:33.49,False,False,(4.253702; 0.9068452),(3.305501; 1.6797),0.3542377,0,1.22326992377066
0:0:33.99,False,False,(4.148954; 0.7535036),(3.305501; 1.6797),0.3014258,0,1.25269794338191
0:0:34.49,False,False,(4.03374; 0.6824868),(3.305501; 1.6797),0.09935021,0,1.23481412602889
0:0:34.99,False,False,(4.123305; 0.7797306),(3.305501; 1.6797),0.3382757,0,1.21603799032101
0:0:35.49,False,False,(4.20725; 1.057092),(3.305501; 1.6797),0.7236503,0,1.09580597399063
0:0:35.99,False,False,(4.204309; 1.356356),(3.305501; 1.6797),0.5377603,0,0.955199086106789
0:0:36.49,False,False,(4.004937; 1.632012),(3.305501; 1.6797),0.6040899,0,0.701059558965197
0:0:36.99,False,False,(3.818099; 1.913426),(3.305501; 1.6797),0.617035,0,0.563368226062063
0:0:37.49,False,False,(3.557454; 2.064989),(3.305501; 1.6797),0.7757682,0,0.460355674866806
0:0:37.99,False,False,(3.226522; 2.107646),(3.305501; 1.6797),0.59141,0,0.435172341594134
0:0:38.49,False,False,(2.852677; 2.139903),(3.305501; 1.6797),0.6048835,0,0.645629371985872
0:0:38.99,False,False,(2.505469; 2.015034),(3.305501; 1.6797),0.8938535,0,0.867468316162668
0:0:39.49,False,False,(2.212714; 1.882967),(3.305501; 1.6797),0.5885272,0,1.1115315640756
0:0:39.99,False,False,(1.925803; 1.768285),(3.305501; 1.6797),0.5029703,0,1.38253968360623
0:0:40.49,False,False,(1.667194; 1.579874),(3.305501; 1.6797),0.6895895,0,1.64134562395386
0:0:40.99,False,False,(1.506588; 1.398554),(3.305501; 1.6797),0.328093,0,1.82075092515505
0:0:41.49,False,False,(1.452942; 1.246311),(3.305501; 1.6797),0.4385868,0,1.90257796898128
0:0:41.99,False,False,(1.526398; 0.9797546),(3.305501; 1.6797),0.6206759,0,1.9118400240004
0:0:42.49,False,False,(1.507139; 0.7454661),(3.305501; 1.6797),0.4676993,0,2.02654860891757
0:0:42.99,False,False,(1.451802; 0.5329968),(3.305501; 1.6797),0.5587714,0,2.17970895315875
0:0:43.49,False,False,(1.44369; 0.2964039),(3.305501; 1.6797),0.3260843,0,2.31945050602538
0:0:43.99,False,False,(1.282145; 0.1127229),(3.305501; 1.6797),0.5396214,0,2.55917740985186
0:0:44.49,False,False,(1.161517; -0.004580617),(3.305501; 1.6797),0.1575275,0,2.72643933227925
0:0:44.99,False,False,(1.136518; -0.001633883),(3.305501; 1.6797),0.02469724,0,2.74433495845174
